A_PRGID,A_USERID,A_SYSDT,U_PRGID,U_USERID,U_SYSDT,CARD_TYPE,CARD_VERSION,COLUNM,LEVEL1,LEVEL2_S,LEVEL2_E,SCORE
NULL,NULL,NULL,NULL,NULL,NULL,S5,1,EDUCAT_BACK,NULL,00,00,7
中結5年以上卡,21251,2019-11-27 08:52:30.537,中結5年以上卡,21251,2019-11-27 08:52:36.257,S5,1,LOAN_RATE,NULL,114,999,29
滿期5年以上卡,IT,2019-09-04 09:44:04.980,滿期5年以上卡,IT,2019-09-04 09:44:04.980,E5,1,PROJECT_TP,NULL,13,13,12
滿期5年以上卡,IT,2019-09-04 09:44:04.980,滿期5年以上卡,IT,2019-09-04 09:44:04.980,E5,1,PROJECT_TP,NULL,14,14,12
滿期5年以上卡,IT,2019-09-04 09:44:04.980,滿期5年以上卡,IT,2019-09-04 09:44:04.980,E5,1,PROJECT_TP,NULL,16,16,12
滿期5年以上卡,IT,2019-09-04 09:44:04.980,滿期5年以上卡,IT,2019-09-04 09:44:04.980,E5,1,PROJECT_TP,NULL,02,02,12
滿期5年以上卡,IT,2019-09-04 09:44:04.980,滿期5年以上卡,IT,2019-09-04 09:44:04.980,E5,1,PROJECT_TP,NULL,20,20,12
滿期5年以上卡,IT,2019-09-04 09:44:04.980,滿期5年以上卡,IT,2019-09-04 09:44:04.980,E5,1,PROJECT_TP,NULL,03,03,12
滿期5年以上卡,IT,2019-09-04 09:44:04.980,滿期5年以上卡,IT,2019-09-04 09:44:04.980,E5,1,PROJECT_TP,NULL,04,04,12
滿期5年以上卡,IT,2019-09-04 09:44:04.980,滿期5年以上卡,IT,2019-09-04 09:44:04.980,E5,1,PROJECT_TP,NULL,06,06,12
滿期5年以上卡,IT,2019-09-04 09:44:04.980,滿期5年以上卡,IT,2019-09-04 09:44:04.980,E5,1,PROJECT_TP,"A         ",06,06,12
滿期5年以上卡,IT,2019-09-04 09:44:04.980,滿期5年以上卡,IT,2019-09-04 09:44:04.980,E5,1,PROJECT_TP,NULL,01,01,18
滿期5年以上卡,IT,2019-09-04 09:44:04.980,滿期5年以上卡,IT,2019-09-04 09:44:04.980,E5,1,PROJECT_TP,NULL,12,12,18
滿期5年以上卡,IT,2019-09-04 09:44:04.980,滿期5年以上卡,IT,2019-09-04 09:44:04.980,E5,1,PROJECT_TP,"A         ",16,16,18
滿期5年以上卡,IT,2019-09-04 09:44:04.980,滿期5年以上卡,IT,2019-09-04 09:44:04.980,E5,1,PROJECT_TP,NULL,21,21,18
滿期5年以上卡,IT,2019-09-04 09:44:04.980,滿期5年以上卡,IT,2019-09-04 09:44:04.980,E5,1,PROJECT_TP,NULL,22,22,18
滿期5年以上卡,IT,2019-09-04 09:44:04.980,滿期5年以上卡,IT,2019-09-04 09:44:04.980,E5,1,PROJECT_TP,"A         ",22,22,18
滿期5年以上卡,IT,2019-09-04 09:44:04.980,滿期5年以上卡,IT,2019-09-04 09:44:04.980,E5,1,PROJECT_TP,"A         ",23,23,18
滿期5年以上卡,IT,2019-09-04 09:44:04.980,滿期5年以上卡,IT,2019-09-04 09:44:04.980,E5,1,PROJECT_TP,NULL,05,05,18
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CPOST_NUM_NM,"桃園市       ",NULL,NULL,29
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CPOST_NUM_NM,"澎湖縣       ",NULL,NULL,35
滿期5年以上卡,IT,2019-09-04 09:44:04.980,滿期5年以上卡,IT,2019-09-04 09:44:04.980,E5,1,AGE,NULL,0,42,19
滿期5年以上卡,IT,2019-09-04 09:44:04.980,滿期5年以上卡,IT,2019-09-04 09:44:04.980,E5,1,AGE,NULL,43,54,19
滿期5年以上卡,IT,2019-09-04 09:44:04.980,滿期5年以上卡,IT,2019-09-04 09:44:04.980,E5,1,AGE,NULL,55,57,18
滿期5年以上卡,IT,2019-09-04 09:49:14.817,滿期5年以上卡,IT,2019-09-04 09:49:14.817,E5,1,EDUCAT_BACK,NULL,03,03,24
滿期5年以上卡,IT,2019-09-04 09:57:05.790,滿期5年以上卡,IT,2019-09-04 09:57:05.790,E5,1,EDUCAT_BACK,NULL,01,01,-16
滿期5年以上卡,IT,2019-09-04 09:57:14.573,滿期5年以上卡,IT,2019-09-04 09:57:14.573,E5,1,EDUCAT_BACK,NULL,08,99,22
滿期5年以上卡,IT,2019-09-04 10:19:44.953,滿期5年以上卡,IT,2019-09-04 10:19:44.953,E5,1,AGE,NULL,58,62,17
滿期5年以上卡,21251,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,LOAN_RATE,NULL,0,58,9
滿期5年以上卡,21251,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,LOAN_RATE,NULL,59,68,14
滿期5年以上卡,21251,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,LOAN_RATE,NULL,69,75,17
滿期5年以上卡,21251,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,LOAN_RATE,NULL,76,88,23
滿期5年以上卡,21251,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,LOAN_RATE,NULL,89,999,28
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CPOST_NUM_NM,"臺北市       ",NULL,NULL,21
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CPOST_NUM_NM,"臺中市       ",NULL,NULL,26
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CPOST_NUM_NM,"臺南市       ",NULL,NULL,29
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CPOST_NUM_NM,"臺南縣       ",NULL,NULL,29
滿期5年以上卡,21251,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,AGE,NULL,63,64,14
滿期5年以上卡,21251,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,AGE,NULL,65,200,12
滿期5年以上卡,21251,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,LIST_MONTH,NULL,128,999,14
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CPOST_NUM_NM,"臺東縣       ",NULL,NULL,31
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CPOST_NUM_NM,"花蓮縣       ",NULL,NULL,35
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CPOST_NUM_NM,"苗栗縣       ",NULL,NULL,21
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CPOST_NUM_NM,"連江縣       ",NULL,NULL,35
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CPOST_NUM_NM,"金門縣       ",NULL,NULL,29
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CPOST_NUM_NM,"雲林縣       ",NULL,NULL,26
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CPOST_NUM_NM,"高雄市       ",NULL,NULL,29
機車卡,IT,2019-09-04 09:44:04.980,機車卡,IT,2019-09-04 09:44:04.980,M,1,AGE,NULL,0,25,26
機車卡,IT,2019-09-04 09:44:04.980,機車卡,IT,2019-09-04 09:44:04.980,M,1,AGE,NULL,26,47,30
機車卡,IT,2019-09-04 09:44:04.980,機車卡,IT,2019-09-04 09:44:04.980,M,1,AGE,NULL,48,200,25
機車卡,IT,2019-09-04 09:44:04.980,機車卡,IT,2019-09-04 09:44:04.980,M,1,CAREA_NO1,NULL,1,1,29
機車卡,IT,2019-09-04 09:44:04.980,機車卡,IT,2019-09-04 09:44:04.980,M,1,CAREA_NO1,NULL,0,0,27
機車卡,IT,2019-09-04 09:44:04.980,機車卡,IT,2019-09-04 09:44:04.980,M,1,CAREA_NO2,NULL,0,0,13
機車卡,IT,2019-09-04 09:44:04.980,機車卡,IT,2019-09-04 09:44:04.980,M,1,CAREA_NO2,NULL,1,1,64
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CO_NUM_NM,"南投縣       ",NULL,NULL,17
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CO_NUM_NM,"嘉義市       ",NULL,NULL,25
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CO_NUM_NM,"嘉義縣       ",NULL,NULL,25
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CO_NUM_NM,"基隆市       ",NULL,NULL,20
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CO_NUM_NM,"宜蘭縣       ",NULL,NULL,28
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CO_NUM_NM,"屏東縣       ",NULL,NULL,20
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CO_NUM_NM,"彰化縣       ",NULL,NULL,25
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CO_NUM_NM,"新北市       ",NULL,NULL,17
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CO_NUM_NM,"新竹市       ",NULL,NULL,28
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CO_NUM_NM,"新竹縣       ",NULL,NULL,28
機車卡,IT,2019-11-27 08:52:30.537,機車卡,21251,2019-11-27 08:52:36.257,M,1,CO_NUM_NM,"桃園市       ",NULL,NULL,28
滿期5年以上卡,IT,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,CO_NUM_NM,"南投縣       ",NULL,NULL,38
滿期5年以上卡,IT,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,CO_NUM_NM,"嘉義市       ",NULL,NULL,45
滿期5年以上卡,IT,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,CO_NUM_NM,"嘉義縣       ",NULL,NULL,45
滿期5年以上卡,IT,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,CO_NUM_NM,"基隆市       ",NULL,NULL,45
滿期5年以上卡,IT,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,CO_NUM_NM,"宜蘭縣       ",NULL,NULL,34
滿期5年以上卡,IT,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,CO_NUM_NM,"屏東縣       ",NULL,NULL,34
滿期5年以上卡,IT,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,CO_NUM_NM,"彰化縣       ",NULL,NULL,45
滿期5年以上卡,IT,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,CO_NUM_NM,"新北市       ",NULL,NULL,34
滿期5年以上卡,IT,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,CO_NUM_NM,"新竹市       ",NULL,NULL,25
滿期5年以上卡,IT,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,CO_NUM_NM,"新竹縣       ",NULL,NULL,25
滿期5年以上卡,IT,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,CO_NUM_NM,"桃園市       ",NULL,NULL,31
滿期5年以上卡,IT,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,CO_NUM_NM,"澎湖縣       ",NULL,NULL,25
滿期5年以上卡,IT,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,CO_NUM_NM,"臺北市       ",NULL,NULL,34
滿期5年以上卡,IT,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,CO_NUM_NM,"臺中市       ",NULL,NULL,38
滿期5年以上卡,IT,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,CO_NUM_NM,"臺南市       ",NULL,NULL,45
滿期5年以上卡,IT,2019-11-27 08:52:30.537,滿期5年以上卡,21251,2019-11-27 08:52:36.257,E5,1,CO_NUM_NM,"臺南縣       ",NULL,NULL,45
