A_PRGID,A_USERID,A_SYSDT,U_PRGID,U_USERID,U_SYSDT,LIST_NO,DEPTID_M,EMPLID,RATION,PROD_TYPE
OBZ021,23770,2026-05-28 09:40:07.517,OBZ021,23770,2026-05-28 09:40:07.517,OB202606001,XVE1,20742,4.2,01
OBZ021,23770,2026-05-28 09:40:07.517,OBZ021,23770,2026-05-28 09:40:07.517,OB202606001,XVE1,20777,3.8,01
OBZ021,23770,2026-05-28 09:40:07.517,OBZ021,23770,2026-05-28 09:40:07.517,OB202606001,XVE1,20873,5.7,01
OBZ021,23770,2026-05-28 09:40:07.517,OBZ021,23770,2026-05-28 09:40:07.517,OB202606001,XVE1,20938,3.8,01
OBZ021,23770,2026-05-28 09:40:07.517,OBZ021,23770,2026-05-28 09:40:07.517,OB202606001,XVE1,21208,3.3,01
OBZ021,23770,2026-05-28 09:40:07.517,OBZ021,23770,2026-05-28 09:40:07.517,OB202606001,XVE1,21291,3.3,01
OBZ021,23770,2026-05-28 09:40:07.517,OBZ021,23770,2026-05-28 09:40:07.517,OB202606001,XVE1,21327,4.2,01
OBZ021,23770,2026-05-28 09:40:07.517,OBZ021,23770,2026-05-28 09:40:07.517,OB202606001,XVE1,21408,4.6,01
OBZ021,23770,2026-05-28 09:40:07.517,OBZ021,23770,2026-05-28 09:40:07.517,OB202606001,XVE1,21575,3.3,01
OBZ021,23770,2026-05-28 09:40:07.517,OBZ021,23770,2026-05-28 09:40:07.517,OB202606001,XVE1,21647,5.7,01
OBZ021,23770,2026-05-28 09:40:07.517,OBZ021,23770,2026-05-28 09:40:07.517,OB202606001,XVE1,21648,3.8,01
OBZ021,23770,2026-05-28 09:40:07.517,OBZ021,23770,2026-05-28 09:40:07.517,OB202606001,XVE1,21831,3.3,01
OBZ021,23770,2026-05-28 09:40:07.517,OBZ021,23770,2026-05-28 09:40:07.517,OB202606001,XVE1,22039,4.2,01
OBZ021,23770,2026-05-28 09:40:07.517,OBZ021,23770,2026-05-28 09:40:07.517,OB202606001,XVE1,22049,3.8,01
