A_PRGID,A_USERID,A_SYSDT,U_PRGID,U_USERID,U_SYSDT,LIST_NO,DEPTID_M,EMPLID,RATION,PROD_TYPE
OBA0020,30002,2021-06-24 16:00:32.557,OBA0020,30002,2021-06-24 16:00:32.557,OB202107001,"XTC0                                              ",20505,4.0,01
OBA0020,30002,2021-06-24 16:00:32.557,OBA0020,30002,2021-06-24 16:00:32.557,OB202107001,"XTC0                                              ",20885,3.4,01
OBA0020,30002,2021-06-24 16:00:32.557,OBA0020,30002,2021-06-24 16:00:32.557,OB202107001,"XTC0                                              ",21332,4.0,01
OBA0020,30002,2021-06-24 16:00:32.557,OBA0020,30002,2021-06-24 16:00:32.557,OB202107001,"XTC0                                              ",21333,4.5,01
OBA0020,30002,2021-06-24 16:00:32.557,OBA0020,30002,2021-06-24 16:00:32.557,OB202107001,"XTC0                                              ",21466,4.5,01
OBA0020,30002,2021-06-24 16:00:32.557,OBA0020,30002,2021-06-24 16:00:32.557,OB202107001,"XTC0                                              ",21523,4.0,01
OBA0020,30002,2021-06-24 16:00:32.557,OBA0020,30002,2021-06-24 16:00:32.557,OB202107001,"XTC0                                              ",21578,4.0,01
OBA0020,30002,2021-06-24 16:00:32.557,OBA0020,30002,2021-06-24 16:00:32.557,OB202107001,"XTC0                                              ",21579,4.5,01
OBA0020,30002,2021-06-24 16:00:32.557,OBA0020,30002,2021-06-24 16:00:32.557,OB202107001,"XTC0                                              ",21580,4.5,01
OBA0020,30002,2021-06-24 16:00:32.557,OBA0020,30002,2021-06-24 16:00:32.557,OB202107001,"XTC0                                              ",21581,5.0,01
OBA0020,30002,2021-06-24 16:00:32.557,OBA0020,30002,2021-06-24 16:00:32.557,OB202107001,"XTC0                                              ",21645,4.0,01
OBA0020,30002,2021-06-24 16:00:32.557,OBA0020,30002,2021-06-24 16:00:32.557,OB202107001,"XTC0                                              ",21839,4.0,01
OBA0020,30002,2021-06-24 16:00:32.557,OBA0020,30002,2021-06-24 16:00:32.557,OB202107001,"XTC0                                              ",21840,4.0,01
OBA0020,30002,2021-06-24 16:00:32.557,OBA0020,30002,2021-06-24 16:00:32.557,OB202107001,"XTC0                                              ",21956,4.0,01
OBA0020,30002,2021-06-24 16:00:32.557,OBA0020,30002,2021-06-24 16:00:32.557,OB202107001,"XTC0                                              ",21957,4.0,01
OBA0020,30002,2021-06-24 16:00:32.557,OBA0020,30002,2021-06-24 16:00:32.557,OB202107001,"XTC0                                              ",22042,4.0,01
OBA0020,30002,2021-06-24 16:00:32.557,OBA0020,30002,2021-06-24 16:00:32.557,OB202107001,"XTC0                                              ",22163,4.0,01
OBA0020,30002,2021-06-24 16:00:32.557,OBA0020,30002,2021-06-24 16:00:32.557,OB202107001,"XTC0                                              ",22273,4.0,01
OBA0020,30002,2021-06-24 16:00:32.557,OBA0020,30002,2021-06-24 16:00:32.557,OB202107001,"XTC0                                              ",22274,4.0,01
OBA0020,30002,2021-06-24 16:00:32.557,OBA0020,30002,2021-06-24 16:00:32.557,OB202107001,"XTC0                                              ",22275,4.0,01
OBA0020,30002,2021-06-24 16:00:32.557,OBA0020,30002,2021-06-24 16:00:32.557,OB202107001,"XTC0                                              ",22278,4.0,01
OBA0020,30002,2021-06-24 16:00:32.557,OBA0020,30002,2021-06-24 16:00:32.557,OB202107001,"XTC0                                              ",22395,3.4,01
OBA0020,30002,2021-06-24 16:00:32.557,OBA0020,30002,2021-06-24 16:00:32.557,OB202107001,"XTC0                                              ",22396,3.4,01
OBA0020,30002,2021-06-24 16:00:32.557,OBA0020,30002,2021-06-24 16:00:32.557,OB202107001,"XTC0                                              ",22411,3.4,01
OBA0020,30002,2021-06-24 16:00:32.557,OBA0020,30002,2021-06-24 16:00:32.557,OB202107001,"XTC0                                              ",22425,3.4,01
OBA0020,30001,2021-06-24 15:55:07.863,OBA0020,30001,2021-06-24 15:55:07.863,OB202107001,"XVC0                                              ",20742,3.9,01
OBA0020,30001,2021-06-24 15:55:07.863,OBA0020,30001,2021-06-24 15:55:07.863,OB202107001,"XVC0                                              ",20777,3.9,01
OBA0020,30001,2021-06-24 15:55:07.863,OBA0020,30001,2021-06-24 15:55:07.863,OB202107001,"XVC0                                              ",20826,3.5,01
OBA0020,30001,2021-06-24 15:55:07.863,OBA0020,30001,2021-06-24 15:55:07.863,OB202107001,"XVC0                                              ",20829,3.9,01
OBA0020,30001,2021-06-24 15:55:07.863,OBA0020,30001,2021-06-24 15:55:07.863,OB202107001,"XVC0                                              ",20873,4.4,01
