A_PRGID,A_USERID,A_SYSDT,U_PRGID,U_USERID,U_SYSDT,PROJECT_WORKYM,LIST_NO,OBDEPTID,OBDEPTNM,RATION
OBA0020,21797,2021-04-27 10:17:46.000,OBA0020,21797,2021-04-27 10:17:46.000,202105,OB202105001,XTC0,南電銷,27.0
OBA0020,21797,2021-04-27 10:17:46.000,OBA0020,21797,2021-04-27 10:17:46.000,202105,OB202105001,XVC0,北電一,34.0
OBA0020,21797,2021-04-27 10:17:46.000,OBA0020,21797,2021-04-27 10:17:46.000,202105,OB202105001,XVE4,中區電銷,26.0
OBA0020,21797,2021-04-27 10:17:46.000,OBA0020,21797,2021-04-27 10:17:46.000,202105,OB202105001,XXC0,北電二,13.0
OBA0020,21797,2021-04-27 10:19:00.000,OBA0020,21797,2021-04-27 10:19:00.000,202105,OB202105004,XTC0,南電銷,0.0
OBA0020,21797,2021-04-27 10:19:00.000,OBA0020,21797,2021-04-27 10:19:00.000,202105,OB202105004,XVC0,北電一,0.0
OBA0020,21797,2021-04-27 10:19:00.000,OBA0020,21797,2021-04-27 10:19:00.000,202105,OB202105004,XVE4,中區電銷,0.0
OBA0020,21797,2021-04-27 10:19:00.000,OBA0020,21797,2021-04-27 10:19:00.000,202105,OB202105004,XXC0,北電二,100.0
OBA0020,21797,2021-04-27 10:19:24.000,OBA0020,21797,2021-04-27 10:19:24.000,202105,OB202105005,XTC0,南電銷,27.0
OBA0020,21797,2021-04-27 10:19:24.000,OBA0020,21797,2021-04-27 10:19:24.000,202105,OB202105005,XVC0,北電一,34.0
OBA0020,21797,2021-04-27 10:19:24.000,OBA0020,21797,2021-04-27 10:19:24.000,202105,OB202105005,XVE4,中區電銷,26.0
OBA0020,21797,2021-04-27 10:19:24.000,OBA0020,21797,2021-04-27 10:19:24.000,202105,OB202105005,XXC0,北電二,13.0
OBA0020,21797,2021-04-27 10:19:45.000,OBA0020,21797,2021-04-27 10:19:45.000,202105,OB202105006,XTC0,南電銷,27.0
OBA0020,21797,2021-04-27 10:19:45.000,OBA0020,21797,2021-04-27 10:19:45.000,202105,OB202105006,XVC0,北電一,34.0
OBA0020,21797,2021-04-27 10:19:45.000,OBA0020,21797,2021-04-27 10:19:45.000,202105,OB202105006,XVE4,中區電銷,26.0
OBA0020,21797,2021-04-27 10:19:45.000,OBA0020,21797,2021-04-27 10:19:45.000,202105,OB202105006,XXC0,北電二,13.0
OBA0020,21797,2021-04-27 10:20:10.000,OBA0020,21797,2021-04-27 10:20:10.000,202105,OB202105007,XTC0,南電銷,27.0
